univ,id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,p1,p2,p3
1,1,2,4,4,2,2,2,3,2,3,2,4,1,3,4,3,5,2,4,4,5,1,4,2
1,2,1,2,2,2,2,3,5,2,3,2,4,4,3,3,4,2,2,2,5,2,1,1,2
1,3,2,3,4,3,3,2,5,4,4,4,4,2,3,4,4,3,2,5,4,3,1,4,3
1,4,3,5,5,3,3,4,5,2,4,4,4,2,3,3,4,2,1,3,3,4,1,4,2
1,5,3,2,4,4,4,3,5,2,3,4,4,4,2,5,4,3,2,2,4,4,1,1,1
1,6,4,3,3,4,2,1,3,4,4,4,4,2,4,4,3,4,2,4,3,3,1,2,1
1,7,3,4,4,2,2,3,5,2,3,3,5,4,2,5,5,4,1,5,5,3,1,1,3
1,8,4,2,4,4,4,4,5,3,4,4,5,2,3,4,4,3,2,4,4,3,1,1,5
1,9,4,4,5,3,4,4,4,3,4,4,5,5,4,2,3,4,2,5,1,2,1,4,5
1,10,4,2,4,2,3,2,5,4,3,4,3,4,2,4,5,1,2,2,3,3,1,1,5
1,11,4,4,4,3,3,5,2,2,4,3,5,3,4,5,4,2,2,2,4,3,1,3,2
1,12,3,1,4,3,4,4,5,1,4,3,3,4,3,5,4,3,3,4,3,3,1,1,2
1,13,3,2,4,3,4,4,4,3,4,4,5,1,4,2,4,3,1,2,4,4,1,1,2
1,14,3,4,3,4,5,5,5,2,3,2,3,4,2,2,5,2,2,4,2,5,1,1,5
1,15,1,3,2,2,3,2,4,2,2,2,3,3,1,4,4,3,2,4,3,4,1,1,5
1,16,3,4,2,3,4,4,5,3,4,4,3,4,1,4,5,3,1,3,3,4,1,1,5
1,17,3,2,1,1,3,2,5,2,2,1,1,3,1,5,3,3,2,5,1,5,1,1,5
1,18,3,3,3,4,3,4,5,4,4,3,2,2,2,4,4,2,1,5,3,4,1,1,5
1,19,2,2,4,3,2,2,5,3,4,4,4,2,1,4,4,5,2,3,4,4,1,1,5
1,20,3,4,4,3,4,3,5,2,4,3,4,2,2,4,4,3,2,4,5,4,1,1,2
1,21,3,4,5,2,4,2,5,2,3,4,4,4,2,5,4,3,2,4,5,4,1,4,5
1,22,4,3,4,2,3,2,5,4,3,2,5,1,1,2,4,3,2,3,5,3,1,1,1
1,23,2,2,2,1,4,3,5,4,1,1,5,5,1,5,5,1,5,3,5,4,1,1,1
1,24,2,3,4,3,5,3,4,3,4,4,5,4,3,3,3,3,2,2,3,4,2,1,5
1,25,3,4,4,2,4,2,5,2,3,3,4,2,2,4,2,4,1,4,3,5,2,1,1
1,26,4,2,3,3,2,4,5,2,4,4,2,4,4,4,4,1,2,2,2,2,1,1,5
1,27,4,4,4,4,3,3,5,3,4,4,5,5,3,4,4,1,1,3,3,3,2,1,5
1,28,4,4,5,3,3,3,5,2,4,3,3,1,1,5,5,3,3,1,3,4,2,1,5
1,29,3,2,2,3,4,4,5,3,4,2,3,4,1,4,4,2,2,2,4,5,2,2,5
1,30,3,2,4,3,5,4,4,2,4,3,5,3,2,4,4,3,2,3,4,2,2,1,5
1,31,1,4,5,3,4,4,3,3,4,3,4,4,3,4,4,3,3,2,4,2,2,1,5
1,32,3,4,4,4,4,3,4,3,3,3,4,4,3,3,4,4,4,4,5,3,2,1,5
1,33,3,2,4,4,3,1,3,3,4,2,5,4,4,4,5,3,2,2,4,2,2,1,1
1,34,3,4,5,2,2,2,2,2,4,4,5,4,2,3,2,2,2,4,5,4,2,1,1
1,35,4,3,5,2,5,3,5,2,3,1,5,4,3,1,4,4,5,2,5,3,2,1,1
1,36,3,2,3,1,5,4,5,2,3,4,4,4,2,3,4,2,2,3,4,4,2,4,5
1,37,4,3,5,4,5,4,4,3,4,4,5,3,2,4,4,3,2,2,5,3,2,1,5
1,38,2,4,4,3,2,2,5,3,3,2,4,3,3,5,4,2,2,3,4,3,2,1,1
1,39,3,2,4,3,4,3,5,3,3,4,2,4,4,4,4,2,2,4,3,4,2,1,1
1,40,2,4,4,2,5,2,5,2,1,1,4,4,1,5,5,4,4,4,5,5,2,3,5
1,41,2,3,4,2,2,3,4,3,3,2,4,3,2,4,4,4,2,2,4,5,2,1,2
1,42,4,4,4,2,3,2,3,4,3,3,4,4,4,4,4,3,2,2,3,2,2,1,5
1,43,3,4,2,3,4,3,4,4,3,2,4,3,2,4,4,3,2,4,5,3,2,1,5
1,44,3,2,1,2,3,3,4,4,3,2,1,5,1,5,5,1,2,4,2,3,2,4,4
1,45,2,3,4,2,4,5,4,2,2,2,5,3,2,4,4,4,2,2,5,4,2,1,1
1,46,2,2,5,4,1,1,5,1,4,4,5,5,1,4,2,4,4,4,5,3,2,1,1
1,47,4,4,4,2,4,4,4,3,4,2,5,4,4,4,3,4,2,4,3,2,3,1,3
1,48,1,2,2,3,5,4,5,4,3,2,2,3,3,4,4,1,1,5,3,4,3,1,5
1,49,4,5,4,3,3,4,3,1,4,3,3,4,2,4,4,1,2,4,4,5,3,1,1
1,50,3,4,4,2,3,4,4,3,4,3,5,2,2,2,2,3,2,2,4,3,3,1,1
1,51,4,2,3,2,5,4,5,2,5,4,5,2,2,4,5,3,1,4,5,2,3,1,1
1,52,4,3,4,3,4,2,5,1,5,4,4,3,1,5,3,3,1,3,5,3,3,1,5
1,53,3,1,3,3,4,4,5,2,3,3,4,1,3,3,2,3,2,3,3,2,3,1,2
