CountryName,WorldRank,Score,PropertyRights,JudicalEffectiveness,FiscalHealth,BusinessFreedom,LaborFreedom,MonetaryFreedom,TradeFreedom,InvestmentFreedom ,FinancialFreedom
Afghanistan,163,48.9,12.6,28.4,97.3,54.2,59.9,69.3,66,0,0
Albania,65,64.4,54,28.5,51.5,79.3,50.7,81.4,87.7,70,70
Algeria,172,46.5,38.2,29.6,19.8,62.1,49.5,67,63.3,35,30
Angola,165,48.5,36.4,19.8,70.7,58.5,40.4,70.6,56.7,30,40
Argentina,156,50.4,32.4,39.6,56.4,57.3,46.1,50.9,66.7,50,50
Armenia,33,70.3,55.5,42.5,82.9,78.5,72.4,72.8,80.2,80,70
Australia,5,81,81.7,92.9,84.6,89.3,84.1,86.4,86.2,80,90
Austria,30,72.3,86,81.8,79.7,76.9,67.6,83.4,87,90,70
Azerbaijan,68,63.6,50.5,33,97.4,71.5,75,73.6,74.4,55,50
Bahamas,90,61.1,45.3,48.7,42.3,68.5,71.5,77,50.6,50,60
Bahrain,44,68.5,64.2,53.7,12,69.4,78.7,80.7,82.8,75,80
Bangladesh,128,55,34.9,26,78.7,53.4,68.7,68.6,63.6,50,30
Barbados,130,54.5,55.5,33,0,69.6,67.7,83.7,62.2,75,60
Belarus,104,58.6,50.9,56.3,92.8,71.3,74.6,60.4,80.6,30,10
Belgium,49,67.8,83.3,69.3,66.3,82,61.1,84.9,87,85,70
Belize,101,58.6,43.5,48.7,60.5,62.7,53.6,79.6,70.1,50,50
Benin,96,59.2,36,29.4,71.3,51.9,52.4,85.4,68.7,80,50
Bhutan,107,58.4,60.1,50.7,61.7,72.6,77.6,67.1,60,20,30
Bolivia,168,47.7,25.7,15.4,81.4,58.9,35.8,66.4,76,5,40
Bosnia and Herzegovina,92,60.2,41.2,40,89.3,47.4,59.3,84,86.6,65,60
Botswana,34,70.1,58.1,54,99.4,68.8,68.6,77.9,83.8,65,70
Brazil,140,52.9,55,49.7,22.8,61.3,52.3,67,69.4,50,50
Bulgaria,47,67.9,62.5,38.9,86.4,66.7,68.3,83.3,87,70,60
Burkina Faso,93,59.6,38.2,28.4,88.4,46.4,53.3,84.6,69.2,70,40
Burma,146,52.5,23,12.9,89.9,50.1,77.1,65.4,74.2,20,20
Burundi,139,53.2,25.7,19.8,69.6,53.5,67.4,75.2,74.2,55,30
Cambodia,94,59.5,42.4,22.1,95.7,29.6,62,81,80.3,60,50
Cameroon,150,51.8,43.5,29.6,60.9,44.3,47.8,80.1,53.4,35,50
Canada,7,78.5,88.3,80.8,80.3,81.9,73.1,77.8,88.4,80,80
Cabo Verde,116,56.9,42.6,50.2,1.2,65.5,43.2,86.7,68.2,75,60
Central African Republic,151,51.8,12.6,33,84.1,27.2,42.7,68.2,55.2,80,30
Chad,162,49,30.6,24.1,74.6,27.5,44.9,74.3,54.7,60,40
Chile,10,76.5,68.2,63.7,96.1,72.3,64.3,82.2,86.4,85,70
China,111,57.4,48.3,60.7,92.5,53.9,63.4,71.8,73.6,20,20
Colombia,37,69.7,63.8,25.2,89.8,77.1,77.9,77,81.6,80,70
Comoros,121,55.8,37.3,22.6,98.6,58.5,50.6,81.5,70.2,45,30
"Congo, Democratic Republic of the Congo",117,56.4,40.6,48.7,99.3,59.9,38.4,78.6,64.6,30,20
"Congo, Republic of",177,40,34.8,22.6,11.6,32.1,37.5,76.1,52.2,50,30
Costa Rica,63,65,51.6,55.6,42.4,68.1,53.9,80.8,84.7,70,50
C?te d'Ivoire,75,63,42.6,45.8,87,62.1,50.6,73.2,72.3,75,50
Croatia,95,59.4,65.5,56.8,44.7,58.2,43.3,80.3,87.4,75,60
Cuba,178,33.9,32.4,10,81.2,20,20,66,64.5,10,10
Cyprus,48,67.9,75.4,60.7,72.9,75.8,58.6,83.3,87,75,50
Czech Republic,28,73.3,70.3,55.9,92,67.2,77.7,85.8,87,80,80
Denmark,18,75.1,86.7,68.5,95.4,93.9,85.8,85.5,87,90,80
Djibouti,171,46.7,12.3,10.3,13.8,51.6,59,75.3,54.9,80,50
Dominica,67,63.7,43.8,67.7,72.6,72.1,59,89.5,72.6,75,30
Dominican Republic,76,62.9,56.1,25.3,90.1,52.8,56.2,76.7,77,75,40
Ecuador,160,49.3,38.7,22.3,56.4,55.4,47.3,67.7,69.7,35,40
Egypt,144,52.6,35.4,56.3,4.6,66.8,51.3,69.6,70.2,55,40
El Salvador,66,64.1,45.3,35.4,74.7,57.3,54.5,79.2,86.5,80,60
Equatorial Guinea,174,45,35.4,13.1,46.4,50.9,38.5,78.3,53.8,40,30
Eritrea,176,42.2,36.4,10.3,0,56.7,69.7,61,69.2,0,20
Estonia,6,79.1,82.6,82.8,99.8,77,56.9,85.7,87,90,80
Ethiopia,142,52.7,32.6,29.6,86.5,50,57.2,65.7,65.1,20,20
Fiji,71,63.4,67.7,41.9,84.1,61.3,70.5,75.5,68.8,55,50
Finland,24,74,90.6,82.7,77.3,90.2,53.4,85.1,87,85,80
France,72,63.3,85,72.7,57,78,44.1,81.6,82,70,70
Gabon,103,58.6,35.9,26.7,96.1,50.6,58.4,83,61.8,55,40
Gambia,136,53.4,39.1,38.8,3.2,52.8,65.6,63.8,65,75,50
